synset_id,synset_description,synset_words,wikidata_qnode,wikidata_description,wikidata_labels,gained_votes
manx.n.01,the ancient Gaelic formerly spoken on the Isle of Man; the language is sometimes used on ceremonial occasions,Manx,Q12175,Celtic language spoken in the Isle of Mann,"Manx,Manx_Gaelic,Manks_language,Manx_language,Gaelg,Gaelic,gv,Manks,Manx_language,Manx_Gaelic_language,Manx:,Isle_of_Man,Manx,Manx_language#Orthography,language,Manx_language#Revival,Manx-language,Yn_Lhaihder,Manx_Language_Society,Manx_translation,Gaelic_language,Gaelic_term,Manx_Gaelic_term,Manx_Gaelic,Manx_language",7|8
tonka_bean.n.01,fragrant black nutlike seeds of the tonka bean tree; used in perfumes and medicines and as a substitute for vanilla,"tonka_bean,coumara_nut",Q7821525,Oil from the seeds of Dipteryx odorata,"Tonka_bean_oil,Tonka_bean_oil,tonka_bean_oil,Tonka_bean_oil",7|8
blastomere.n.01,any cell resulting from cleavage of a fertilized egg,blastomere,Q57000375,article,Sperm_and_blastomere_aneuploidy_detection_in_reproductive_genetics_and_medicine,7|8
vanishing.n.02,a sudden disappearance from sight,vanishing,Q3030513,action of disappearing or vanishing,"disappearance,vanishing",7|8
gym_shoe.n.01,a canvas shoe with a pliable rubber sole,"gym_shoe,sneaker,tennis_shoe",Q1929383,"footwear with a flexible rubber or synthetic sole and fabric ,cloth or leather upper","sneakers,tennis_shoe,tennis_shoes,sneaker,trainers,Sneakers,sneakers,sneaker,Athletic_Shoes,Sneakers",7|8
halal.n.01,(Islam) meat from animals that have been slaughtered in the prescribed way according to the shariah,halal,Q177823,"any object or an action which is permissible to use or engage in, according to Islamic law","halal,halal_food,Halal,,liceity,HALAL,halāl,lawful,halal,permissible,bans_certain_kinds_of_meat,livestock_slaughter,worthy,allowed,Islam,Halal_butchering,Muslim,good,Halal_meat,halal_industry,Islamic,'''h'''alal,Halal,halal_food_products,Islamic_cuisine,Halal_foods",7|8
mayakovski.n.01,Soviet poet; leader of Russian futurism (1893-1930),"Mayakovski,Vladimir_Vladimirovich_Mayakovski",Q132964,"Russian and Soviet poet, playwright, artist and stage and film actor","Vladimir_Mayakovsky,Vladimir_Vladimirovich_Mayakovsky,Vladimir_Maiakovsky,Vladimir_Mayakov,Vladimir_Vladimirovich_Majakovski,Wladimir_Wladimirowitsch_Majakovskij,Vladimir_Vladimirovich_Mayakovski,Vladimir_Vladimirovic_Mayakovskij,Vladimir_Vladimirovič_Majakovskij,Vladimir_Mayakovsky,Vladimir_Mayakovsky's,Vladimir_Vladimirovich_Mayakovsky's,Majakowskij,Maïakovsky,Mayakovsky,_Vladimir,Mayakovsky.,Vladimir_Mayakovsky,Vladimir_Maiakovski,MAYAKOVSKIY,Mayakovsky",7|8
wild_yam.n.01,having a rhizome formerly dried and used to treat rheumatism or liver disorders,"wild_yam,Dioscorea_paniculata",Q309632,species of plant,"Dioscorea_villosa,Dioscorea_villosa,wild_yam,Dioscorea_villosa",7|8
divine_law.n.01,a law that is believed to come directly from God,divine_law,Q1559849,any law that comes directly from the will of God,"Divine_law,Divine_law,divine,divine_will,ius_divinum,Divine_law,Law_of_God,divine_ordinance,God's_precepts,divine_commandments,God's_will,Divine_order,jure_divino,God-made_law,Divine,Divine_Justice,Divine_Law,God's_law,God's_Law,eternal_law,absolute_lawgiver,divine_law",7|8
department_of_state.n.01,the federal department in the United States that sets and maintains foreign policies,"Department_of_State,United_States_Department_of_State,State_Department,State,DoS",Q789915,United States federal executive department responsible for foreign affairs,"United_States_Department_of_State,State_Department,U.S._State_Department,U.S._Department_of_State,DoS,USDoS,United_States_Department_of_State,robust_foreign_policy,US_State_Department,Departments_of_State,State,US_DoS,United_States,Director_of_Political/Military_Affairs,_Bureau_of_Inter-American_Affairs,_State_Department,Assistant_Secretary_of_State_for_International_Organizations,functional_statements,U.S._State_Department,U.S._DoS,U.S_State_Department,State_Dept,Department_of_State_(DOS),Jefferson_Science_Fellow,U.S._State_Department's,Washington,U.S._Department_of_State,United_States_Embassy_in_Mongolia,State_Departments,United_States_State_Department_Official,state_department,Department_of_State's,US_Department_of_State,Jefferson_Science_Fellowship,Department_of_Foreign_Affairs,U._S._State_Department,America.gov,Secretary’s,US_department_of_State,State_Dept.,U.S._Department_of_State_(DOS),U.S._State_Departmen,United_States_Department_of_State,American_diplomatic_service,United_States_State_Department,DoS,United_States_Department_of_State's,U.S._Dept._of_State,US_Departments_of_State,United_States_Department_of_State_(DoS),United_States_Department_of_State,NEA,Department_of_State,U.S._Department_of_State's,State_department,State_Department_of_United_States,State_Department_of_the_United_States,undersecretary_of_state,U._S._Department_of_State,U.S_Department_of_State,State_Department',of_State,U.S._State_department,the_State_Department,U.S._state_department,U.S.&nbsp;State_Department,U._S._State_Dept.,Department_of_State’s,Foreign_affairs,the_U.S._State_Department,State_Department,U.S._States_Department,State_Department’s,Assistant_Secretary_of_State,Secretary_of_State,the_Department_of_State,Department_of_State_(DoS),The_United_States_Department_of_State,United_States_Department_of_State#Jefferson_Science_Fellows_Program,organizational_responsibilities,American_State_Department,U.S.,US_State_department,U.S.Department_of_State,State_Department's,Foreign_Affairs,American_foreign_ministry,United_States_government",7|8
manawydan.n.01,Celtic sea god; son of Llyr,"Manawydan,Manawyddan",Q1615649,water deity,"Manawydan,Manawydan_fab_Llŷr,Manawydan,Manawydan_fab_Llyr,Manawyd,Manawyddan,Manandoun,Manawydan,Manawydan_son_of_Llŷr",7|8
tribal_society.n.01,a society with the social organization of a tribe,tribal_society,Q1259323,leader of a tribal society or chiefdom,"tribal_chief,chieftain,Tribal_chief,chief,Gaelic_chieftain,high_chief,tyee,chief’s,Rwoth,ruling_chief,tribalism,tribal_nobles,Captain,great_noble,traditional_leader,feudal_chief,Cherokee_chief,tribal_leaders,chiefs,\,chieftain,Honorary_Chief,Warriors,First_Beloved_Man,tribal_leader,headman,Nahnmwarki,chiefly,High_chief,clan_chief,ombara,Chief,Chiefs,chieftainess,chiefs',chefress,War_Chief,Ibedul,chieftains,Principal_Chief,Tribal_Chief,Paramount_chief,High_Chief,paramount_chief,Senior_Chiefs,war_chief,chiefess,tribal_chief,political_and_spiritual_leaders,War_chief,Indian_Chief,king_or_chief,Community_leaders,nahnmwarki,Azzu,Indian_chief,Ombara,Paramount_Chieftaincy,Ohamba,local_leader,Lozi_chiefs,Headman,leader,Native_American_tribal_chiefs,chieftainship,Nahnmwarkis,chieftaincy,headmen,elected_chief,Kaptein,Beloved_Men,tribe_leaders,Chiefess,War_leader,American_Indian_chief,female_chief,Traditional_Rulers,chiefly_status,Chieftains,traditional_politics,traditional_jurisdiction,Tribal_chief,chiefdom,Mwene,Chieftain,hovedlinge,chieftain's,African_chieftains,Reklai,King,High_Chiefess,leaders,native_chief,Senior_Chief,Cacique's,’Aiha,traditional_leaders",7|8
management_personnel.n.01,personnel having overall planning and direction responsibilities,management_personnel,Q5467169,professional in human resources,"Human_Resources,HR,HR_personnel,Human_resources,Human_resources,resources,Diploma_in_Human_Resources_Management,Human_Resources_(HR),manpower,resourcing,human-resource,personnel,personnel_manager,staffing,human-resources,Masters_in_Human_Resource_Management,human_resource,human_resources_administration,Certificate_in_Human_Resources_Management,Manpower,Bachelor_of_Human_Resources_Management,health_service_human_resource_managers,Masters_of_Science,Administration_of_human_capital,head_of_human_resources,HR_departments,Human_resource_and_payroll_administrative_services,Human_Resources_department,human_resources_department,human_resources,Human_Resources_Manager,HR_for_Resources,Human_resources_planning,Personnel_Officer,human_resource_professionals,Human_Resources_Representative,Human_Resource_Studies,Human_Resource,director_of_human_resources,Human_Resource_Development,Manpower_Management,Personnel,human_resources_professionals,Resourcing,Human_resource,personnel_officer,management_training,Human_Resources,HR_transactions,Labour_&_Training,man-powered,personnel_services,Cert.Hmn.Res.Mgnt.,human,HR-related,human_resource_managers,HR,Staffing,human_resources_development,Director_of_Human_Resources,personnel_clerks,HRD,human_resource_professional,population_potential",7|8
swizzle.n.01,any of various tall frothy mixed drinks made usually of rum and lime juice and sugar shaken with ice,swizzle,Q7379107,rum-based cocktail,"Rum_Swizzle,Rum_Swizzle,Bermuda_Rum_Swizzle,Rum_Swizzle#Origin,Other_Swizzles,Rum_Swizzle",7|8
bedroom_suite.n.01,a suite of furniture for the bedroom,"bedroom_suite,bedroom_set",Q193837,private room where people usually sleep for the night or relax during the day,"bedroom,boudoir,sleeping_room,bedchamber,Bedroom,guest_rooms,Bedroom,bedroom_furniture,bedroom_set,bed-,sleeping_chambers,bower,bedchamber,master_bedroom,sleeping_room,bedroom,room,bedchambers,Bedroom__,guest_room",7|8
