text1,text2,is_same
European viola with an unusually long corolla spur,Wikimedia category,0
fungus causing damping off disease in seedlings,species of fungus,1
prolific animal that feeds chiefly on earthworms,Wikimedia category,0
tall herb with leafless white waxy stems and whitish starlike flowers; southwestern United States,species of plant,1
seedless green table grape of California,article,0
a very narrow necktie usually tied in a bow,English photographer and bondage artist,0
very large cooking apple,"Brailsford, Mary Ann (bap. 1791, d. 1852), originator of the Bramley's Seedling apple",0
a steam-powered automobile,company,0
type genus of the Caprimulgidae,species of bird,0
a substance producing irritation,"Toxicology: Principles and Practice. Reeves AL, Sperling F, eds., New York: Wiley, 1981 Jan; 1:48-92",0
of or relating to or in the manner of George Frederick Handel,"German, later British Baroque composer",1
wild dog of northern South America,species of mammal,1
literary style of Modern Greek containing features borrowed from Koine,former prestige form of the Modern Greek language,1
in an irritating manner,Wikimedia list article,1
vomiting blood,article,0
a form of behavior therapy that has been used in some mental institutions; patients are rewarded with tokens for appropriate behavior and the tokens may be cashed in for valued rewards,contingency management based on the systematic reinforcement of target behavior,1
of a grey with a pearly tinge,painting by Carl-Henning Pedersen,1
the executive agency that advises the President on protecting the environment,a series in the National Archives and Records Administration's holdings,1
100 tyiyn equal 1 som in Kyrgyzstan,currency,1
derived from the Iowa crab and cultivated for its large double pink blossoms,painting by Shen Zhou,0
black-faced chimpanzees of central Africa; closely related to eastern chimpanzees,subspecies of mammal,1
having widely spreading paired branches,journal article; published in Advanced Robotics in 2001,0
an unrealized gain on an investment calculated by subtracting the investor's cost from the current market price,article,1
like a dishonest rogue,vagrant person who wanders from place to place,0
a militant Islamic militia that was formed in 2005 by hardliners who split from Jemaah Islamiyah,Darul Islam Indonesian organisation,1
low annual European herb naturalized in America; similar to alfilaria,Wikimedia category,0
perennial rhizomatous herbs of Asia and Australia and Polynesia having ginger-scented rhizomes,species of plant,0
a police cruiser,patrol car used by the British police,1
contact (the part of a bell) against which the clapper strikes,"A Cambodian bowed, stringed instrument. Thom means large, and refers to the cylinder at the base, which is a sound-bow resonator. The snake (or other type) skin is the soundboard which creates the sound.",1
fern with long narrow strap-shaped leaves,species of plant,1
the central cavity of the bony labyrinth of the ear,central part of the bony labyrinth,1
common in quiet waters of eastern United States,"Toronto :Royal Ontario Museum,1973. | Royal Ontario Museum (archive.org) View Book",0
a former executive department of the United States government; created in 1903 and split into two departments in 1913,"[Washington?]Printed for distribution at the Ter-centennial Exposition, near Norfolk, Va., by the U.S. Bureau of Fisheries,1907. | Smithsonian Libraries View Book",0
a deity worshipped by the Japanese,divine being in Shinto,0
the commission of the Economic and Social Council of the United Nations that is concerned with social development,"government organization in Milwaukee, United States",1
woody vine having bright green leaves and racemes of rose-tinted white flowers; the swollen roots contain rotenone,species of plant,1
having widely spreading paired branches,journal article; published in Advanced Robotics in 2001,0
a progressive tense used to express action that will be on-going in the future,simple sentences for english learning,1
a gilled polypore with a large cap (up to 15 inches in diameter) and a broad stalk; edible when young and tender,species of fungus,1
a pronunciation of afraid,aria from the opera The Tempest by Lee Hoiby,1
a genus of Cuculidae,species of bird,0
ride the crest of a wave without a surfboard,"process in which a person is passed overhead from person to person (often during a concert), transferring the person from one part of the venue to another",1
not having gears engaged,article,1
a definition that points out or exhibits instances of the term defined,conveying the meaning of a term by pointing out examples,1
place in a rack,"form of murder, homicide",1
Eurasian mullein with showy purple or pink flowers,set of permissions to use something,0
in a light-hearted manner,Polish noble,1
class of fungi in which the fruiting body is a cleistothecium (it releases spores only on decay or disintegration),article,1
an acronym for pedestrian light control; a pedestrian crossing with traffic lights that are controlled by pedestrians,type of pedestrian crossing,1
river turtle of Mississippi basin; prefers running water,species of reptile,1
a person who descends down a nearly vertical face by using a doubled rope that is wrapped around the body and attached to some high point,Rope-controlled descent of a vertical surface,1
be counted out; remain down while the referee counts to ten,short story by P. G. Wodehouse,1
having stiff muscles as the result of excessive exercise,1981 single by Spandau Ballet,1
common western European partridge with red legs,species of bird,1
(Arthurian legend) the battlefield where King Arthur was mortally wounded,Legendary conflict,1
a specialist in identifying fingerprints,"Cherrill, Frederick Rupert (1892–1964), police officer and fingerprint expert",1
a statute regulating work on Sundays,county in New Jersey,0
not encumbered with a physical burden or load,1983 film by Marcel Schüpbach,0
very large yellowish-brown American silkworm moth with large eyespots on hind wings; larvae feed on fruit and shade trees,Wikimedia category,0
an unmarried aunt,watercolor by Thomas Rowlandson,1
a firm that sells and buys computers,former computer expo,1
ball used to knock down ninepins,old European lawn game,1
in the manner of Leonardo da Vinci,Italian Renaissance polymath,1
tanagers,genus of birds,0
herbs and subshrubs: African daisy,species of plant,0
small dark green or yellow ribbed squash with yellow to orange flesh,painting by Henry Lee McFee,0
nocturnal lemur with long bony fingers and rodent-like incisor teeth closely related to the lemurs,association football player,0
a member of the Taoist Trinity,American photographer,1
a rich black loam of Russia,article,1
biennial plant; valuable honey plant,"Washington,1921. | Library of Congress",0
layer of sand or gravel used to expose sewage effluent to air and the action of microorganisms,sand,1
any of several creeping marine gastropods with a spirally coiled shell: whelks; tritons; moon shells; neritids,species of fish,1
spruce grouse,Wikimedia category,0
tropical African and Asiatic trees and shrubs having one-seeded fruit,species of plant,0
small dark green or yellow ribbed squash with yellow to orange flesh,painting by Henry Lee McFee,0
New Zealand forest tree,article,0
unlawfully distilled Irish whiskey,distilled beverage,1
"form sides, as for a game",television series,1
type genus of the Icteridae,species of bird,0
vomiting blood,article,0
Australian tree yielding a variegated tulipwood,Wikimedia category,0
generalized extinct mammals widespread during the Jurassic; commonly conceded to be ancestral to marsupial and placental mammals,infraclass of mammals,1
type genus of the Helotiaceae,species of fungus,0
a passerine bird of the suborder Tyranni,family of birds found in the Americas,1
a lightweight British submachine gun,submachine gun,1
an extinct genus of Hominoidea,species of mammal (fossil),0
a heavy plow with a single wide blade; used chiefly in cotton fields,island in the United States of America,0
protected from harm or loss,InterPro Conserved Site,1
slender shrubby willow of dry areas of North America,variety of plant,0
a genus of tropical American trees of the family Sapotaceae,"1984. | University of Florida, George A. Smathers Libraries View Book",0
tall tree of Queensland and New South Wales and Victoria,species of plant,1
a medical institution that provides prolonged care (as in cases of prolonged illness or rehabilitation from acute illness),clinical trial,1
a process for making steel using an open-hearth furnace,historic steel producing technology,1
depart hastily,bugle call,1
small tree of West Africa,variety of plants,0
relatively weak attraction between neutral atoms and molecules arising from polarization induced in each particle by the presence of other particles,"residual attractive or repulsive forces between molecules or atomic groups that do not arise from a covalent bond, or ionic bonds",1
clematis of California,Wikimedia category,0
a woman who is a mediator,species of insect,0
terrestrial orchids of Australia to New Caledonia,orchid species in the genus Caladenia,1
not having a beak or bill,species of plant,1
small brown moth whose larvae bore into flowers and bolls of cotton,"Cairo,Government Press,1917. | University of California Libraries (archive.org) View Book",0
small family of marine fishes having covered gills,family of fishes,1
having skin like velvet,Human disease,1
a mild sedative-hypnotic drug (trade name Placidyl),chemical compound,1
free from deception or illusion,album by Extol,1
perennial herb with showy yellow flowers; the eastern United States,species of plant,1
subshrub having short leafy stems and numerous small flower heads with nearly round yellow-orange rays; Arizona south to Mexico and east to Kansas,painting by Mary Vaux Walcott,0
intentionally untrue,"act of propagating beliefs of things that are not true, or not the whole truth",1
widely distributed in warm clear shallow streams,album by Hog Molly,0
upright rhizomatous perennial with bright blue flowers; southern Europe,Wikimedia category,0
an environmentalist political party,political party in Brazil,0
European cress having stiff erect stems; sometimes placed in genus Turritis,species of plant,1
a former executive department of the United States government; created in 1903 and split into two departments in 1913,"[Washington?]Printed for distribution at the Ter-centennial Exposition, near Norfolk, Va., by the U.S. Bureau of Fisheries,1907. | Smithsonian Libraries View Book",0
chokecherry of western United States,species of plant,1
tropical Atlantic fish,Wikimedia category,0
a metal screw that tapers to a point so that it can be driven into wood with a screwdriver,type of fastener characterized by a thread wrapped around a cylinder,1
a mild seasoning made from a variety of pimiento grown in Spain,article,1
a group of Penutian languages spoken to the west of the Sacramento river,Wikimedia template,0
small clustering cactus of southwestern United States; a threatened species,Wikimedia category,0
cloth covered with powdered emery,painting by Jeffrey Spalding,0
beech fern of North American woodlands having straw-colored stripes,species of plant,1
brown tree shrew having a naked tail bilaterally fringed with long stiff hairs on the distal third; of Malaysia,species of mammal,1
stout hairy annual of eastern North America with sweet yellow fruits,species of plant,1
any of various orchids of the genus Paphiopedilum having slender flower stalks bearing 1 to several waxy flowers with pouchlike lips,genus of plants,1
a woman who is a mediator,species of insect,0
tufted or mat-forming perennial of mountains of Europe; cultivated for its white flowers,species of plant,1
a lack of cognitive skill,"in Buddhism, mental states that cloud the mind",1
South African cycad; the farinaceous pith of the fruit used as food,species of plant,1
a helmet worn by the batter in baseball,protective headgear worn by batters in the game of baseball or softball,1
encephalitis that resembles apoplexy due to blood extravasation,Human disease,1
western American shrubs having white felted foliage and yellow flowers that become red-purple,species of plant,1
genus of smut fungus,species of fungus,0
of or related to acetic acid,clinical trial,1
affected by strabismus,Human disease,1
disease of plum and cherry trees characterized by black excrescences on the branches,species of fungus,1
a mycoplasma resistant to antibiotics that causes a kind of pneumonia in humans,genus of bacteria,1
an operation on exactly two operands,calculation that combines two elements of the set to produce another element of the set; operation of arity two whose two domains and one codomain are the same set,1
a unit of force equal to 1000 newtons,unit of force,1
southern United States hawthorn with pinnately lobed leaves,species of plant,1
having pale delicate colors,family of colors,1
a payment made at regular times,"land property concessed by a lord to a vassal during the Middle Age in Europe, grantim him a feudal right to occupy and using it, against a servitude, the regular payment of taxes, and often a share of its usufruct",1
Paleozoic simple dichotomously branched plants of Europe and eastern Canada including the oldest known vascular land plants,family of plants,0
a branch of the internal pudendal artery of males that supplies the bulb of the penis,short artery of large caliber,1
a solo tap dance emphasizing sharp taps,1895 film by William Kennedy Dickson,0
tropical American deciduous shrubs or small trees,genus of plants,1
having a protruding jaw giving the face a gaunt appearance,Protrusion of the upper or lower human jaw,1
having none of the properties that endow something with value,journal article; published in The American Journal of Bioethics in 2015,1
obesity caused by overeating,medical condition in which excess body fat harms health,1
a butt set on end to contain water especially to store rainwater,container used to collect rainwater,1
relating to or characterized by double refraction,"A lysosome-related organelle contained within the intestinal cells of the nematode C. elegans. Gut granules are acidified, birefringent, autofluorescent, and contain the vacuolar H+-ATPase. They also serve as sites of cellular zinc storage.",0
a selective-serotonin reuptake inhibitor commonly prescribed as an antidepressant (trade name Paxil),clinical trial,0
genus of often thorny tropical trees and shrubs and some vines; mainly America,species of plant,0
annual of western United States with coiled spikes of yellow-orange coiled flowers,species of plant,1
annual or biennial cress growing in damp places sometimes used in salads or as a potherb; troublesome weed in some localities,species of plant,1
not having a medicinal effect or not medically prescribed,Wikimedia category,1
very small Argentine armadillo with pale silky hair and pink plates on head and neck,article,0
of or relating to a rhizoid,modified subterranean stem of a plant,1
"make wet and dirty, as from rain",river in Australia,1
a wheel that has a tire and rim and hubcap; used to propel the car,round object on a car,1
of black tinged with purple,single,0
the transportation of burdens by porters,professional who carries bags and other items,1
resulting from careful thought,2007 single by Silversun Pickups,1
prostrate woody South American herb with white tubular flowers often tinged with blue or rose,species of plant,1
genus of smut fungus,species of fungus,0
a suspension bridge across the East River in New York City,bridge in New York City,1
steep in hot water,extraction by boiling herbal or plant material to dissolve the chemicals of the material,1
small clustering cactus of southwestern United States; a threatened species,Wikimedia category,0
deposit once again,a series in the National Archives and Records Administration's holdings,1
a trance induced by intense religious devotion; does not show reduced bodily functions that are typical of other trances,altered state of consciousness characterized by greatly reduced external awareness and expanded interior mental and spiritual awareness,1
Paleozoic simple dichotomously branched plants of Europe and eastern Canada including the oldest known vascular land plants,family of plants,0
