text1,text2,is_same
any plant of the genus Schizanthus having finely divided leaves and showy variegated flowers,"Dutch book series about ""butterflies, flowers and birds""",0
the capital and largest city of Equatorial Guinea on the island of Bioko in the Gulf of Guinea,airport,0
having three unequal crystal axes with one oblique intersection,monoclinic and triclinic (pseudo-monoclinic) phosphates,0
small red ant of warm regions; a common household pest,"Washington, D.C. :U.S. Dept. of Agriculture, Bureau of Entomology,1907. | U.S. Department of Agriculture, National A",0
a musician who plays the trombone,musician who plays the trombone,1
a ceremonial dance performed by Amerindians at the summer solstice,1921 | American Museum of Natural History Library View Book (External),0
of or relating to a rhizoid,modified subterranean stem of a plant,1
chicken and onions and mushrooms braised in red wine and seasonings,Traditional French chicken dish made with red wine,1
a genus of Parulidae,Endangered American bird,0
an opportunistic infection by a fungus of the genus Aspergillus; characterized by inflammation and lesions of the ear and other organs,"infectious disease of humans, birds and other animals",1
projecting part of a rampart or other fortification,building where Paris's DRPJ is located,0
"small genus of timber trees of eastern Asia, Australasia and tropical Africa that form large buttresses",species of plant,0
having feet that turn inward,condition which causes the toes to point inward when walking,1
(rugby) knocking the ball forward while trying to catch it (a foul),researcher,0
any fungal infection caused by fungi of the Phycomycetes group,Human disease,1
a ceremonial dance performed by Amerindians at the summer solstice,"Chicago,1905. | University Library, University of Illinois Urbana Champaign View Book",0
a congenital disorder caused by having an extra 21st chromosome; results in a flat face and short stature and mental retardation,political ideology,0
close relative to the desert tortoise; may be reclassified as a member of genus Xerobates,"Lubbock, TX :Museum of Texas Tech University,2000. | Museum of Texas Tech University",0
a post bearing a sign that gives directions or shows the way,type of road sign,0
of or relating to the Jacobins of the French Revolution,The most radical group in the French Revolution,1
hygrometer that shows variations in the relative humidity of the atmosphere,journal article; published in Annals of Science in 1949,1
a stately court dance of the 16th and 17th centuries,family name,0
oil from olives,cycling team,0
a highly unsaturated antibiotic acid obtained from an actinomycete,chemical compound,1
having two leaves,Botanical terms,1
a pale buff fungus with tawny scales,species of fungus,1
any treelike cycad of the genus Macrozamia having erect trunks and pinnate leaves and large cones with sometimes edible nuts; Australia,subspecies of plant,0
an industrial plant for purifying a crude substance,Czech refinery and petrochemical company,0
a long plume (especially one of egret feathers) worn on a hat or a piece of jewelry in the shape of a plume,article in Otto's encyclopedia,0
malignant bone tumor; most common in children and young adults where it tends to affect the femur,Human disease,0
"make more extreme; raise in quantity, degree, or intensity","process of using any soft material or mass to fill out or heighten, cushion, or protect",1
the sepulcher in which Christ's body lay between burial and resurrection,"church building in Manhattan, United States of America",0
a water enema given to flush out the colon,colorectal cancer that is located in the colon,0
the portion of a company's profit allocated to each outstanding share of common stock,EPS,1
a sculpture of the head and shoulders of a person,album by AC/DC,0
of or relating to the iris of the eye,"1969. | University of Florida, George A. Smathers Libraries View Book",1
extinct jawless fish with the anterior part of the body covered with bony plates; of the Silurian and Devonian,subclass of fishes (fossil),1
European freshwater fish having a flattened body and silvery scales; of little value as food,species of fish,1
a type of country music played at a rapid tempo on banjos and guitars,American Progressive bluegrass band formed in 1975 in New England,0
a division of the United States Army that is specially trained for guerilla fighting,Vietnam War United States Army Special Forces general,0
an epithet for Jupiter,king of the gods in ancient Roman religion and myth,1
small-eared Mexican bat with a long slender nose,species of mammal,1
the number from which the subtrahend is subtracted,number or quantity from which another is to be subtracted,1
a pair of pants and a matching jacket worn by women,woman's ensemble consisting of trousers and coat or jacket,1
queen of the Olympian gods in ancient Greek mythology; sister and wife of Zeus remembered for her jealously of the many mortal women Zeus fell in love with; identified with Roman Juno,American television station,0
a long-handled scratcher for scratching your back,"tool for relieving areas that cannot easily be reached just by one's own hands, typically the back",1
plant in checkrows,"unincorporated community in Illinois, United States",1
any of various minerals consisting of hydrous silicates of aluminum or potassium etc. that crystallize in forms that allow perfect cleavage into very thin leaves; used as dielectrics because of their resistance to electricity,"town in Sibiu County, Romania",0
a compact and sturdy saddle horse that is bred and trained in Vienna; smart and docile and excellent for dressage,horse breed,1
the Shoshonean language spoken by the Paiute,Northern Paiute war leader,0
an act undertaken to increase your own power and influence or to draw attention to your own importance,to speak with excessive pride and satisfaction with oneself,1
type genus of Simaroubaceae; tropical American trees and shrubs having a pale soft wood and bitter bark,genus of plants,1
evergreen oak of southern Europe having leaves somewhat resembling those of holly; yields a hard wood,species of plant,1
abnormal twisting of the intestines (usually in the area of the ileum or sigmoid colon) resulting in intestinal obstruction,article,0
any infection caused by a protozoan,"infection of the brain, spinal cord, or meninges by single celled organisms of the former subkingdom known as protozoa",0
toward the bottom of a hill,album by 22-Pistepirkko,0
make (an organism or substance) sensitive to the influence of radiant energy and especially light,doctoral thesis,0
a common solitary bee important for pollinating alfalfa in the western United States,article,0
the capital and largest city of Jordan,researcher ORCID ID = 0000-0003-2397-7714,0
a number representing a quantity assumed to have a fixed value in a specified mathematical context,French composer,0
a domestic long-wool sheep,sheep breed,1
