text1,text2,is_same
in a differential manner,article,0
the type species of genus Heliobacter; produces urease and is associated with several gastroduodenal diseases (including gastritis and gastric ulcers and duodenal ulcers and other peptic ulcers),species of bacteria,1
(physics) the mass of a body in motion relative to the observer: it is equal to the rest mass multiplied by a factor that is greater than 1 and that increases as the magnitude of the velocity increases,concept that incorporates the general understandings from the laws of motion of special relativity along with its concept of mass–energy equivalence,1
breed of compact medium-sized dog with a heavy grey coat developed in Norway for hunting elk,Dog breed,0
a game played at home,"stadium on the Gold Coast, Queensland, Australia",0
a professional person trained in library science and engaged in library services,Austrian historian and librarian,0
a medical condition of uncertain origin that affected many veterans of the 1991 Gulf War; characterized by fatigue and headache and dizziness and nausea and rashes and joint pain and respiratory disorders,syndrome affecting returning military veterans and civilian workers of the Gulf War,1
a railway having a single track,single-rail based transportation system,0
a ticket good for admission to a theater,act of reselling tickets for admission to events,1
tropical Atlantic fish,species of fish,1
of or at or pertaining to a cathode,article,1
a mast fixed to the head of a topmast on a square-rigged vessel,species of fish,1
(of plants) having tufts of soft woolly hairs,Botanical terms,1
in a drastic manner,album,0
a piece of furniture that provides a place to sleep,journal,0
milk obtained from dairy cows,article,1
afford access to,album,0
having or showing a feeling of mixed reverence and respect and wonder and dread,drawing in the National Gallery of Art (NGA 142920),1
(mathematics) a progression of terms whose reciprocals form an arithmetic progression,progression formed by taking the reciprocals of an arithmetic progression,1
professional care for the feet and toenails,painting by J.H. Steen,0
offspring of a male tiger and a female lion,language,0
small steak from the front of the short loin of beef,particular preparation of a cut of beef originated by Delmonico's restaurant in New York City,1
characteristic or suggestive of an institution especially in being uniform or dull or unimaginative,article,0
oil from olives,cycling team,0
the practice of offering something (usually money) in order to gain an illicit advantage,French association football club,0
used of nonindulgent persons,article published by Congressional-Executive Commission on China,0
the quality of being worthy of praise,article,0
old material that is slightly reworked and used again,episode of South Park,0
an area in an airport where arriving passengers can collect the luggage that has been carried in the hold of the aircraft,2011 single by Miranda Lambert,0
a systematic consideration,discovery and exploration of outer space,1
an alloy steel that remains hard at a red heat; used to make metal-cutting tools,subset of tool steels,1
plant again or anew,article,1
(Yiddish) a thief or dishonest person or scoundrel (often used as a general term of abuse),surface-to-air missile system,1
borne on the water; floating,article,0
an isotope of hydrogen which has one neutron (as opposed to zero neutrons in hydrogen),article,0
an air gun used in the game of paintball; designed to simulate a semiautomatic,electropneumatic paintball marker,0
either of two chief superficial veins of the leg that drain blood from the foot,"large, subcutaneous, superficial vein of the leg",1
a temporary military unit formed to accomplish a particular objective,Parliament of Religions women's task force,0
a branch of the Tai languages,language,1
the condition of being covered with glaciers or masses of ice; the result of glacial action,interval of time within an ice age that is marked by colder temperatures and glacier advances,1
of a pink color that is close to red,deep to vivid reddish pink color,1
a toxic condition that results from inhaling and absorbing carbon monoxide gas,death due to exposure to carbon monoxide,1
a food turner with a broad blade used for turning or serving fish or other food that is cooked in a frying pan,silver at the Cleveland Museum of Art,0
one bound by vows to a religion or life of worship or service,promises made by members of religious communities,1
(Greek mythology) the Titaness who was goddess of memory; mother of the Muses,personification of memory in Greek mythology,1
of or relating to the neocortex of the cerebrum,article,0
a rake used by gardeners,agricultural tool used for moving soil or other material,1
Australian shrub whose flowers yield honey copiously,species of plant,1
a square matrix with all elements not on the main diagonal equal to zero,matrix defined using smaller matrices called blocks,1
any of various fruits of the gourd family that mature during the summer; eaten while immature and before seeds and rind harden,article,0
a white cheeselike protective material that covers the skin of a fetus,species of plant,0
small asexual fruiting body resembling a cushion or blister consisting of a mat of hyphae that is produced on a host by some fungi,sporocarp of an ascomycete phylum fungus.  Ascocarps are most commonly bowl-shaped (apothecia) but may take a spherical (cleistothecia) or flask-like (perithecia) form,1
French field marshal who commanded the Allied armies in France during World War II (1852-1931),researcher,0
therapeutic exposure to sunlight,article,1
the area over which a radio or tv transmission can be received,geographic area with mostly the same set of media outlets,1
white goods in which food can be stored at low temperatures,household appliance for preserving food at a low temperature,1
a line generated by a point on a circle rolling along a straight line,abnormal condition of the mind that involves a loss of contact with reality,1
a person who makes an affidavit,written sworn statement of fact voluntarily made by an affiant or deponent under an oath or affirmation administered by a person authorized to do so by law,0
condition in which both eyes are abnormally small but otherwise normal,genetic element in the species Homo sapiens,0
a stout staff with a metal point; used by mountain climbers,section of a planet's crust that is demarcated by faults or flexures,1
a seam of coal,article,0
appropriate to or befitting a god; ; ; -R.H.Roveref,"stock character; an evil, very powerful, often godlike or near-immortal sorcerer",1
an imaginary place where you say people are when they seem optimistically out of touch with reality,journal,0
a thief who steals from the pockets or purses of others in public places,thief who engages in pickpocketing,1
fracture resulting from excessive activity rather than a specific injury,fatigue-induced fracture of the bone caused by repeated stress over time,1
Australian plant naturalized in Spain having flowers of lemon yellow to deep gold; the frequent choice of those who love dried flowers,species of plant,1
any person regarded simply as an object of sexual gratification,article,0
a breed or medium-sized poodles,"group of dog breeds, originating from continental Western Europe (either Germany or France)",1
the capital of Croatia,capital city of Croatia,1
the spread at the center of a magazine,painting by Howard Mehring,1
a steam vessel propelled by paddle wheels,steamship or riverboat powered by a steam engine that drives paddle wheels,1
tremor of unknown cause (usually of the hands and head) that develops in older people; often mistaken for Parkinsonism but is not life-threatening and can usually be kept under control,article,0
given to taking by force what is desired,"book review of Unser Wien ""Our Vienna', Guardian",0
rotating shaft that transmits rotary motion from the engine to the differential,article,0
of or relating to the aorist tense,"grammatical aspect that describes an action viewed as a simple whole, i.e. a unit without interior composition",1
a simple hitch used for temporarily attaching a line to a hook,hitch knot,1
lettuce valued especially for its edible stems,variety of plants,0
